sim_swap_time_gap_minutes,sim_swap_flag,device_change_flag,sim_type_change_flag,imsi_change_flag,iccid_change_flag,otp_and_sim_change_geo_hash_length
60,False,False,True,False,True,8
1,True,False,False,False,True,2
1,False,False,False,False,True,9
2,True,False,False,True,False,2
10080,False,False,False,False,True,9
60,False,False,False,False,False,7
10080,False,False,False,False,False,8
30,False,False,False,False,False,6
5,True,True,True,False,True,5
10080,False,False,False,True,False,7
60,False,False,False,True,False,7
60,False,False,False,False,False,7
1440,False,False,False,True,True,8
2,True,True,False,False,True,5
1,True,True,True,True,False,4
10080,False,False,False,False,False,8
1,True,True,True,False,True,2
5,True,True,False,True,True,5
5,True,True,False,True,True,4
10080,False,False,True,False,False,7
60,False,False,False,False,False,7
1440,False,True,False,False,False,6
1440,False,False,False,False,True,9
10,True,True,False,True,True,5
60,False,False,False,False,False,9
1,True,False,True,False,True,3
1,True,True,False,True,True,3
1440,False,False,False,True,False,7
2,True,True,True,False,True,2
1,True,False,False,False,True,4
5,False,False,False,False,False,7
2,True,False,False,False,True,4
60,False,False,False,False,False,9
60,False,False,False,False,False,7
30,False,False,False,False,False,9
10080,False,False,False,False,False,8
10,True,True,True,True,False,4
1,False,False,False,False,False,8
1440,False,False,False,False,False,7
10080,False,False,False,False,False,9
30,False,False,False,True,False,7
30,False,False,False,False,False,8
2,True,False,False,True,True,5
1,True,True,False,True,True,3
1440,False,False,False,False,False,7
60,False,False,False,False,False,6
60,False,False,False,False,False,10
10,False,False,False,False,False,10
1,True,False,False,True,True,2
1,True,True,False,True,False,4
1440,False,False,False,False,False,10
30,False,False,False,False,True,9
10080,False,True,False,False,False,9
1440,False,False,False,False,False,9
2,True,True,True,True,True,2
5,True,True,False,True,False,5
10,True,False,False,False,True,2
10080,False,False,True,False,False,10
5,False,False,False,False,False,8
1440,False,False,False,False,False,9
10,True,False,False,True,True,3
10080,False,False,False,False,False,8
5,False,False,True,True,False,6
30,False,False,False,False,False,6
1,True,True,False,True,True,3
30,False,True,False,False,False,7
60,False,False,False,False,False,9
5,True,False,False,False,True,4
10080,False,False,False,False,False,9
10,False,False,False,False,False,9
1,False,False,False,False,False,10
1440,False,False,False,False,True,10
10080,False,False,False,False,False,10
60,False,False,False,False,False,6
30,False,False,False,False,False,9
10080,False,False,False,False,False,10
1,True,True,True,True,True,2
30,False,False,True,False,False,10
60,False,False,False,False,False,6
30,False,False,False,False,False,7
60,False,False,False,True,False,8
1440,False,False,False,False,False,6
10,True,True,True,False,False,5
1,False,False,False,False,False,9
60,False,False,False,False,False,9
10080,False,True,False,False,False,10
1440,False,False,False,False,False,6
5,False,False,False,False,False,10
10080,False,False,False,False,False,8
10,False,False,False,False,False,6
10080,False,False,False,False,False,7
1440,False,False,False,False,False,10
10080,False,False,False,False,False,7
30,False,False,True,False,False,8
10080,False,False,True,False,False,8
5,False,False,False,True,False,7
2,True,False,False,False,False,2
5,True,False,False,True,True,3
30,False,False,False,False,False,9
60,False,False,False,False,False,6
30,False,False,False,False,False,6
30,False,False,False,False,True,9
2,True,False,False,False,False,4
10080,False,False,False,True,False,6
10080,False,False,False,False,False,10
30,False,False,False,False,False,10
10080,False,False,False,False,False,7
1440,False,False,False,False,False,8
10080,False,False,False,False,True,8
1,True,False,True,True,True,3
2,True,False,True,True,False,5
1,True,True,False,True,True,3
2,False,False,True,False,False,8
2,True,True,False,True,True,3
5,True,True,False,True,True,5
5,True,False,False,False,False,2
5,True,True,False,True,True,3
1,True,False,False,True,False,5
1,True,False,True,True,False,4
30,False,False,False,False,True,7
1440,False,False,False,False,True,7
5,False,True,False,False,False,9
2,True,True,True,False,False,5
10080,False,False,False,False,False,8
10,True,False,True,False,True,4
5,True,False,False,True,True,4
2,False,False,False,False,False,8
5,False,False,False,False,False,10
2,True,False,False,True,False,3
1,True,False,False,True,True,2
10,False,False,False,False,False,8
10080,False,False,False,True,False,8
1,False,False,True,False,False,7
1440,False,False,False,False,False,8
10080,False,False,False,False,False,6
5,True,True,False,False,True,5
2,True,True,False,False,False,3
2,True,False,True,False,False,3
1440,False,False,False,True,True,8
5,True,False,False,False,False,5
60,False,False,False,False,False,8
10,False,False,False,False,False,6
1,False,False,False,False,False,9
2,True,False,True,True,True,4
60,False,True,False,False,False,8
1440,False,False,False,False,False,10
60,False,False,False,True,False,9
10,True,False,False,True,True,4
60,False,False,True,False,True,7
2,False,False,False,False,False,8
1440,False,False,False,False,False,8
10,False,False,False,False,False,8
1,True,True,False,True,True,5
2,True,True,False,False,False,4
1440,False,True,False,False,False,8
10,False,False,False,False,False,6
10,True,False,True,False,False,3
1440,False,False,False,True,False,8
10080,False,False,False,False,False,7
5,False,False,False,False,False,7
1440,False,False,False,False,False,9
60,False,False,False,False,True,6
10,False,False,True,False,False,6
10,True,True,False,False,True,2
30,False,False,False,True,False,6
30,False,False,False,False,False,9
10,True,True,False,True,False,4
10080,False,False,False,False,False,10
30,False,False,False,False,False,9
2,True,False,True,False,True,2
5,True,True,True,False,False,5
30,False,False,False,False,False,8
1,True,False,False,True,True,4
30,False,False,False,False,False,8
1440,False,False,False,False,False,10
10,True,False,True,True,True,4
5,True,True,False,True,True,3
10080,False,False,False,False,False,7
2,True,True,True,False,False,4
10,True,False,False,True,True,5
1440,False,False,False,False,False,9
10080,False,False,False,False,False,10
30,False,False,False,False,False,10
1440,False,False,False,False,False,8
60,False,False,True,False,False,10
10,True,False,False,True,False,3
10080,False,False,False,False,True,8
1440,False,False,False,False,False,6
1,True,True,True,True,False,5
5,True,True,True,False,False,4
10080,False,True,False,False,False,6
60,False,False,False,False,False,7
1,True,True,False,True,False,2
1440,False,False,True,False,True,7
10080,False,True,True,False,False,9
5,False,False,False,False,False,7
5,True,True,False,True,True,3
2,False,False,False,False,False,7
1,True,False,False,False,True,4
10,True,True,False,False,True,3
10,True,True,False,False,True,3
1440,False,False,False,False,False,7
2,True,True,False,True,False,4
1440,False,False,True,False,False,8
10080,False,False,False,False,False,6
1,False,False,True,False,False,7
60,False,False,False,False,True,10
5,False,False,False,False,False,9
10080,False,False,False,False,False,10
5,True,True,False,True,True,5
5,True,True,False,True,True,4
30,False,True,False,False,False,9
30,False,False,True,False,False,9
2,True,False,True,True,False,3
60,False,False,False,False,False,8
30,False,True,False,False,False,7
10,True,True,False,True,True,4
2,False,False,False,False,False,7
1,False,False,False,False,False,9
10,True,True,False,False,False,5
10,True,False,True,False,False,2
2,False,False,False,False,False,9
10080,False,False,False,False,True,9
2,True,True,False,True,True,2
1,True,True,True,False,True,2
10,True,False,False,True,False,2
10,True,True,False,False,False,2
1440,False,False,False,True,False,6
10,True,False,False,True,False,5
30,False,False,False,False,False,8
5,True,True,True,False,False,3
10080,False,False,True,False,False,6
1440,False,False,False,False,False,7
10,True,True,False,True,False,5
30,False,False,False,False,False,7
1,False,False,False,False,False,8
10,False,False,False,False,False,6
10080,False,False,False,False,True,7
1440,False,False,True,False,False,8
5,False,False,False,False,True,9
10080,False,False,True,True,False,6
10,False,False,False,False,False,8
1440,False,False,False,True,True,9
1,True,True,True,True,True,5
1440,False,False,False,False,False,8
2,False,False,False,False,False,8
10080,False,False,False,False,False,9
60,False,False,False,False,False,8
30,False,False,False,False,True,9
10,False,False,True,False,False,10
2,True,False,False,True,False,5
30,False,False,False,False,True,9
1440,False,False,True,True,True,9
60,False,False,False,False,False,7
10080,False,False,False,False,False,7
10080,False,False,False,False,False,10
30,False,False,False,False,False,8
60,False,False,False,False,False,8
5,True,False,True,True,False,2
